,CV,MV,SP,t
0,0.081608,40.317444,0.08,0.6625289916992188
1,0.076858,52.468918,0.08,1.7305879592895508
2,0.082779,38.450806,0.08,2.8006820678710938
3,0.081607,39.074493,0.08,3.8724749088287354
4,0.084918,27.865425,0.08,4.945472955703735
5,0.082781,29.141029,0.08,6.020364761352539
6,0.075697,46.915741,0.08,7.09741997718811
7,0.074672,54.217636,0.08,8.176279783248901
8,0.080981,41.243179,0.08,9.257313013076782
9,0.085198,27.987831,0.08,10.340277910232544
10,0.084031,100.0,0.13,11.425124883651733
11,0.099311,100.0,0.13,12.512094020843506
12,0.120288,88.995636,0.13,14.693056106567383
13,0.126071,82.009033,0.13,15.787067890167236
14,0.12806,80.208099,0.13,16.88210678100586
15,0.127402,84.114685,0.13,17.978967905044556
16,0.129906,79.452667,0.13,19.078963041305542
17,0.130249,78.544495,0.13,20.179989099502563
18,0.131696,74.052643,0.13,21.283901929855347
19,0.128407,81.943604,0.13,22.389791011810303
20,0.131296,75.119263,0.13,23.4967999458313
21,0.123546,96.511505,0.13,24.604788064956665
22,0.130483,82.831024,0.13,25.714709997177124
23,0.130906,81.088593,0.13,26.82579469680786
24,0.132563,75.281281,0.13,27.93966293334961
25,0.132473,72.883148,0.13,29.0556538105011
26,0.132644,69.808533,0.13,30.172663688659668
27,0.131512,70.386444,0.13,31.289657831192017
28,0.130164,72.777191,0.13,32.409367084503174
29,0.127572,80.242462,0.13,33.53159785270691
30,0.125498,88.899963,0.13,34.65653085708618
31,0.128969,83.388519,0.13,35.78452205657959
32,0.127641,88.394318,0.13,36.91539788246155
33,0.131416,79.729706,0.13,38.04741406440735
34,0.133361,72.483093,0.13,39.181381940841675
35,0.12676,88.455353,0.13,40.31735181808472
36,0.130565,80.627899,0.13,41.457271099090576
37,0.130386,80.558563,0.13,42.598196029663086
38,0.124429,97.812958,0.13,43.74122405052185
39,0.13119,83.698425,0.13,44.88717293739319
40,0.131764,80.719788,0.13,46.034111976623535
41,0.133005,75.145416,0.13,47.18402695655823
42,0.131899,75.212891,0.13,48.335052728652954
43,0.130327,77.848877,0.13,49.48800492286682
44,0.131416,74.257721,0.13,50.64199185371399
45,0.12828,82.067017,0.13,51.79797577857971
46,0.128802,82.36734,0.13,52.955930948257446
47,0.130977,77.177246,0.13,54.11589980125427
48,0.131058,75.880493,0.13,55.27884292602539
49,0.129852,78.330994,0.13,56.441874980926514
50,0.131134,74.666443,0.13,57.60585808753967
51,0.131183,73.290222,0.13,58.770803928375244
52,0.131759,70.285431,0.13,59.93687891960144
53,0.131341,69.622253,0.13,61.10382390022278
54,0.130176,71.642578,0.13,62.27278184890747
55,0.128949,75.12149,0.13,63.44376087188721
56,0.126795,82.715546,0.13,64.61673879623413
57,0.125072,91.38266,0.13,65.7917308807373
58,0.130581,80.278137,0.13,66.96864700317383
59,0.132303,74.477783,0.13,68.14766693115234
60,0.13202,72.79245,0.13,69.32856893539429
61,0.130769,0.0,0.08,70.51150894165039
62,0.107056,15.192089,0.08,71.69653511047363
63,0.091553,31.875282,0.08,72.8834879398346
64,0.090628,21.872429,0.08,74.07151007652283
65,0.081536,37.445923,0.08,75.26141786575317
66,0.07641,51.166351,0.08,76.4533760547638
67,0.082225,37.646088,0.08,77.64541172981262
68,0.083361,31.746452,0.08,78.84030389785767
69,0.079042,41.018677,0.08,80.03635001182556
70,0.082133,32.767136,0.08,81.23333096504211
71,0.082995,27.785728,0.08,82.43234586715698
72,0.080706,31.346115,0.08,83.63328099250793
73,0.073988,50.839111,0.08,84.83621501922607
74,0.072914,60.825012,0.08,86.03925204277039
75,0.079917,47.61467,0.08,87.24520611763
76,0.079903,47.749115,0.08,88.45220303535461
77,0.076572,57.935059,0.08,89.65922689437866
78,0.078448,56.117889,0.08,90.86817693710327
